,external_gene_name
2314,SF3A1
2315,PRMT5
2316,JAG1
2317,RBBP7
2318,SMS
2319,UBE2I
2320,SFRP1
2321,HNRNPL
2322,TIMM50
2323,LIG1
2324,H2AFV
2325,EZH2
2326,BMPR1A
2327,KPNB1
2328,NSD2
2329,ZBTB16
2330,CCND1
2331,NECTIN1
2332,MDK
2333,TIMELESS
2334,MRPL51
2335,SRSF3
2336,LMNB1
2337,ADAM23
2338,EPB41L5
2339,PARK7
2340,SFPQ
2341,SRM
2342,ADGRL2
2343,SLC2A1
2344,CDC20
2345,AKR1A1
2346,CENPF
2347,HMGN3
2348,ENY2
2349,TMPO
2350,TARDBP
2351,HNRNPA2B1
2352,TRIM24
2353,CIT
2354,TUBA1B
2355,SNRPC
2356,CNOT1
2357,HNRNPR
2358,PRMT1
2359,ILF3
2360,LSM7
2361,TRIM28
2362,NOL11
2363,BTBD3
2364,RBM17
2365,ATP5G2
2366,GLUL
2367,DHX9
2368,PCDH8
2369,SRSF1
2370,ACTL6A
2371,TRA2B
2372,CENPO
2373,HNRNPD
2374,FBN2
2375,SNRPF
2376,SAE1
2377,HDGF
2378,ANP32E
2379,ILF2
2380,LBR
2381,SNRNP200
2382,LRIG1
2383,SFRP2
2384,MYO10
2385,G3BP1
2386,RBMX
2387,GLUD1
2388,INCENP
2389,CPSF7
2390,HMGA2
2391,TMEM123
2392,HNRNPU
2393,CMTM7
2394,PTPRD
2395,PHF6
2396,SON
2397,SAFB
2398,PDPN
2399,H2AFZ
2400,HMGB2
2401,PTTG1
2402,PRTG
2403,MCM7
2404,CENPV
2405,PLK1
2406,RRM1
2407,SRRM2
2408,SF1
2409,NT5DC2
2410,DTYMK
2411,STIP1
2412,CHTF8
2413,HNRNPH1
2414,CNBP
2415,HNRNPF
2416,HNRNPA3
2417,ELOVL6
2418,CHD7
2419,CTPS1
2420,HCFC1
2421,PRPF8
2422,UBE2C
2423,SPSB4
2424,LMNB2
2425,VWA1
2426,KPNA2
2427,ALYREF
2428,SUMO3
2429,NDUFA6
2430,ZFP36L1
2431,GPR89B
2432,TUBB4B
2433,SRSF10
2434,SUMO2
2435,SF3B3
2436,PCDH18
2437,PNRC2
2438,XRCC6
2439,RABL6
2440,HNRNPAB
2441,RPS26
2442,HES5
2443,DDX39B
2444,DLL1
2445,PRC1
2446,EHMT2
2447,HNRNPUL2
2448,KIFC1
2449,RBM14
2450,NME1
2451,RBM12
2452,U2AF1L5
2453,PSMB3
2822,PTBP1
2823,DDX11
2824,RFC2
2825,SNRNP40
2826,POLD1
2827,PKM
2828,RHOA
2829,TCOF1
2830,SMC1A
2831,ENO1
2832,MCM6
2833,XRCC5
2834,AKR1B1
2835,AURKA
2836,KHSRP
2837,BIRC5
2838,HNRNPC
2839,SUPT16H
2840,CDC7
2841,RANBP1
2842,SNRPD3
2843,MCM5
2844,PHF5A
2845,ERH
2846,SALL4
2847,NOP56
2848,POLA1
2849,NUP93
2850,RNASEH2A
2851,FBL
2852,EIF3B
2853,POLD2
2854,PRPF19
2855,FOXM1
2856,GMNN
2857,EIF4G1
2858,EEF1B2
2859,PPM1G
2860,RPS15
2861,SRSF7
2862,SDC1
2863,MSH6
2864,PRRC2C
2865,RPA2
2866,HELLS
2867,NCAPH
2868,ZWINT
2869,DEK
2870,SNRPB
2871,UBA2
2872,AIF1L
2873,SEM1
2874,PUDP
2875,TOMM40
2876,LSM4
2877,DNMT1
2878,RAN
2879,PCNA
2880,CNDP2
2881,RRAS2
2882,CCNB1
2883,CDCA8
2884,ANP32B
2885,PPIL1
2886,UQCC2
2887,HMGA1
2888,ATIC
2889,ANP32A
2890,COMMD4
2891,FANCI
2892,SERBP1
2893,DTL
2894,PARP1
2895,SNRPG
2896,PKP4
2897,CDCA7
2898,FANCD2
2899,CCNA2
2900,SKP2
2901,BOD1
2902,CDCA5
2903,PRPS1
2904,SSRP1
2905,CENPU
2906,NIFK
2907,NUP205
2908,CCNB2
2909,ATP5G1
2910,IGF2BP1
2911,SRSF2
2912,MAD2L1
2913,LSM6
2914,DCAF13
2915,NOLC1
2916,CENPN
2917,NUDT21
2918,SNRPD1
2919,CHAF1A
2920,C19orf48
2921,SETD5
2922,FEN1
2923,PRELID1
2924,BUB1
2925,PA2G4
2926,THOP1
2927,CKS1B
2928,CBX2
2929,MRPL11
2930,BANF1
2931,PFAS
2932,AURKB
2933,RCC2
2934,DCTPP1
2935,RCC1
2936,SF3A3
2937,SIVA1
2938,PTMA
2939,PPIA
2940,APRT
2941,DAXX
2942,ABCF1
2943,RNPS1
2944,JPT2
2945,TRIM71
2946,NUP62
2947,TOMM6
2948,FANCG
2949,PRKDC
2950,UHRF1
2951,DERA
2952,FAM136A
2953,DEPDC1B
2954,NOP58
2955,IPO5
2956,TBC1D1
2957,NUCKS1
2958,DAZAP1
2959,UNG
2960,SNRPA
2961,RPS5
2962,STARD7
2963,ORC1
2964,RPLP0
2965,PABPC4
2966,PHGDH
2967,CDC6
2968,HSP90AB1
2969,MTHFD1
2970,MYBL2
2971,AHCY
2972,KNOP1
2973,MCM4
2974,SLC1A5
2975,RPA3
2976,NSMCE4A
2977,C1QBP
2978,PTGES3
2979,NUP107
2980,GAPDH
2981,MCM3
2982,RPS12
2983,ECT2
2984,HSPE1
2985,CTNNAL1
2986,SET
2987,EXOSC8
2988,NAA50
2989,AMD1
2990,CKS2
2991,CSE1L
2992,NUP85
2993,SNRPD2
2994,BCL2L12
